,Ticket #,Badge,Issue Date ,IssueTime,Plate,State,Make,Model,Violation, Description,Location,Meter, Fine ,Penalty,lat,lng
0,H000209824,12.0,2020-01-01,1424,BH75812,IL,AUDI,,A15,15' FIRE HYDRAN,300 MAYNARD ST,,40.0,0.0,42.279134,-83.742
1,H000227458,320.0,2020-01-01,2143,EBC1799,MI,SUBA,,A06,NO PARKING,1000 S FOREST,,35.0,0.0,42.270317,-83.733161
2,4030029177,836.0,2020-01-02,1118,EEJ8707,MI,HOND,,A01,EXPIRED METER,400 BLK OF WASHINGTO,2798,25.0,0.0,42.281419,-83.748478
3,4090019504,822.0,2020-01-02,1411,GGRRR,MI,JAGU,,A01,EXPIRED METER,FOURTH AND CATHERINE,6732,15.0,0.0,39.390897,-99.066067
4,4090019505,822.0,2020-01-02,1413,7KZA23,MI,CHEV,,A01,EXPIRED METER,300 BLK OF FOURTH AV,1517,15.0,0.0,42.281419,-83.748478
5,4090019506,822.0,2020-01-02,1414,EAT5425,MI,SUBA,,A01,EXPIRED METER,FARMER'S MARKET,5,15.0,0.0,42.284,-83.7462
6,4090019507,822.0,2020-01-02,1415,DNZ0030,MI,HOND,,A24,BACKED IN STALL,FARMER'S MARKET,,25.0,0.0,42.284,-83.7462
7,4090019530,822.0,2020-01-02,1441,7LNA92,MI,TOYO,,A19,NO PERMIT CITY,COMMUNITY HIGH,6102,25.0,0.0,42.28395,-83.74433
8,4090019509,822.0,2020-01-02,1417,ECM6902,MI,CHEV,,A24,BACKED IN STALL,FARMER'S MARKET,80,35.0,0.0,42.284,-83.7462
9,4090019510,822.0,2020-01-02,1418,ECK9900,MI,HOND,,A01,EXPIRED METER,FARMER'S MARKET,19,15.0,0.0,42.284,-83.7462
10,4090019511,822.0,2020-01-02,1420,EDL1868,MI,BMW,,A01,EXPIRED METER,FARMER'S MARKET,45,25.0,0.0,42.284,-83.7462
11,4090019512,822.0,2020-01-02,1420,EDM1539,MI,HOND,,A01,EXPIRED METER,FARMER'S MARKET,79,25.0,35.0,42.284,-83.7462
12,4090019513,822.0,2020-01-02,1422,DTE3214,MI,LINC,,A01,EXPIRED METER,LOT 10,6615,25.0,0.0,,
13,4090019514,822.0,2020-01-02,1423,CMA5870,MI,LEXU,,A01,EXPIRED METER,LOT 10,6624,15.0,0.0,,
14,4090019515,822.0,2020-01-02,1425,DCD4292,MI,HOND,,A01,EXPIRED METER,400 BLK OF FIFTH AVE,1647,15.0,0.0,42.277808,-83.756022
15,4090019516,822.0,2020-01-02,1426,CRL566,MI,MEBE,,A04,NO PRKNG ANYTME,300 BLK OF KINGSLEY,,25.0,0.0,42.281419,-83.748478
16,4090019517,822.0,2020-01-02,1427,ECL0006,MI,AUDI,,A01,EXPIRED METER,400 BLK OF DETROIT S,1599,25.0,0.0,42.281419,-83.748478
17,4090019528,822.0,2020-01-02,1439,CGX252,MI,FORD,,A19,NO PERMIT CITY,COMMUNITY HIGH,6114,35.0,0.0,42.28395,-83.74433
18,4090019519,822.0,2020-01-02,1430,DVN8005,MI,FORD,,A19,NO PERMIT CITY,COMMUNITY HIGH,6150,35.0,0.0,42.28395,-83.74433
19,4090019520,822.0,2020-01-02,1431,DBX3045,MI,VOLK,,A19,NO PERMIT CITY,COMMUNITY HIGH,6154,35.0,0.0,42.28395,-83.74433
20,4090019521,822.0,2020-01-02,1431,CLA361,MI,HYUN,,A19,NO PERMIT CITY,COMMUNITY HIGH,6155,35.0,0.0,42.28395,-83.74433
21,4090019522,822.0,2020-01-02,1432,GPZ8812,OH,HYUN,,A19,NO PERMIT CITY,COMMUNITY HIGH,6159,35.0,20.0,42.28395,-83.74433
22,4090019523,822.0,2020-01-02,1433,8MCZ17,MI,HOND,,A19,NO PERMIT CITY,COMMUNITY HIGH,6161,25.0,0.0,42.28395,-83.74433
